[2016/8/23 - 14:09:56] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/23 - 14:15:48] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/23 - 14:17:07] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/23 - 14:20:36] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/23 - 14:22:12] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/27 - 20:00:02] Test_Test (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/27 - 20:00:23] Test_Test (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/27 - 20:01:03] Test_Test (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/27 - 20:01:23] Test_Test (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/27 - 20:03:32] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/27 - 20:05:12] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/27 - 20:05:54] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/27 - 20:06:00] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/27 - 20:52:40] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/27 - 20:53:11] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/27 - 20:54:27] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/27 - 20:54:40] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/27 - 20:56:38] thai_nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/27 - 20:57:08] thai_nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/27 - 20:58:10] Thai_nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
